k,x,y
Manufacturing,28183.82931264455,7519.0
Manufacturing,31622.776601683792,8307.0
Manufacturing,35481.33892335753,6268.0
Manufacturing,39810.71705534969,11476.0
Manufacturing,44668.359215096345,15490.0
Manufacturing,50118.72336272725,7765.0
Manufacturing,56234.13251903491,9873.0
Manufacturing,63095.7344480193,9718.0
Manufacturing,70794.57843841374,7051.0
Manufacturing,79432.82347242821,8511.0
Manufacturing,89125.0938133746,6238.0
Manufacturing,100000.0,8530.0
Manufacturing,112201.84543019629,5217.0
Manufacturing,125892.54117941661,4232.0
Manufacturing,141253.75446227554,3775.0
Manufacturing,158489.3192461114,2650.0
Manufacturing,177827.94100389228,1853.0
Manufacturing,199526.2314968879,2426.0
Manufacturing,223872.11385683378,1590.0
Manufacturing,251188.6431509582,514.0
Manufacturing,281838.2931264455,616.0
Manufacturing,316227.7660168379,284.0
Manufacturing,354813.3892335753,110.0
Manufacturing,398107.1705534969,225.0
Manufacturing,446683.5921509635,485.0
Manufacturing,501187.2336272725,475.0
Manufacturing,562341.3251903491,321.0
Manufacturing,630957.344480193,254.0
Manufacturing,707945.7843841374,138.0
Health Care and Social Assistance,1995.2623149688789,73.0
Health Care and Social Assistance,2238.72113856834,462.0
Health Care and Social Assistance,2511.88643150958,240.0
Health Care and Social Assistance,2818.382931264455,842.0
Health Care and Social Assistance,3162.2776601683795,421.0
Health Care and Social Assistance,3548.133892335753,319.0
Health Care and Social Assistance,3981.0717055349733,982.0
Health Care and Social Assistance,4466.835921509631,2018.0
Health Care and Social Assistance,5011.872336272725,543.0
Health Care and Social Assistance,5623.413251903491,1444.0
Health Care and Social Assistance,6309.57344480193,1015.0
Health Care and Social Assistance,7079.457843841381,744.0
Health Care and Social Assistance,7943.282347242814,1557.0
Health Care and Social Assistance,8912.509381337459,1112.0
Health Care and Social Assistance,10000.0,3151.0
Health Care and Social Assistance,11220.18454301963,2452.0
Health Care and Social Assistance,12589.254117941662,1984.0
Health Care and Social Assistance,14125.375446227554,2856.0
Health Care and Social Assistance,15848.93192461114,2172.0
Health Care and Social Assistance,17782.794100389227,2643.0
Health Care and Social Assistance,19952.62314968879,6493.0
Health Care and Social Assistance,22387.21138568338,7262.0
Health Care and Social Assistance,25118.864315095823,4718.0
Health Care and Social Assistance,28183.82931264455,9452.0
Health Care and Social Assistance,31622.776601683792,9901.0
Health Care and Social Assistance,35481.33892335753,6875.0
Health Care and Social Assistance,39810.71705534969,11606.0
Health Care and Social Assistance,44668.359215096345,14791.0
Health Care and Social Assistance,50118.72336272725,7696.0
Health Care and Social Assistance,56234.13251903491,10305.0
Health Care and Social Assistance,63095.7344480193,10617.0
Health Care and Social Assistance,70794.57843841374,7738.0
Health Care and Social Assistance,79432.82347242821,9462.0
Health Care and Social Assistance,89125.0938133746,6544.0
Health Care and Social Assistance,100000.0,8161.0
Health Care and Social Assistance,112201.84543019629,4803.0
Health Care and Social Assistance,125892.54117941661,3296.0
Health Care and Social Assistance,141253.75446227554,2572.0
Health Care and Social Assistance,158489.3192461114,1685.0
Health Care and Social Assistance,177827.94100389228,1298.0
Health Care and Social Assistance,199526.2314968879,2024.0
Health Care and Social Assistance,223872.11385683378,1561.0
Health Care and Social Assistance,251188.6431509582,616.0
Health Care and Social Assistance,281838.2931264455,775.0
Health Care and Social Assistance,316227.7660168379,361.0
Health Care and Social Assistance,354813.3892335753,209.0
Health Care and Social Assistance,398107.1705534969,555.0
Health Care and Social Assistance,446683.5921509635,1040.0
Health Care and Social Assistance,501187.2336272725,1016.0
Health Care and Social Assistance,562341.3251903491,714.0
Health Care and Social Assistance,630957.344480193,255.0
Health Care and Social Assistance,707945.7843841374,289.0
Administrative and Support and Waste Management and Remediation Services,1995.2623149688789,41.0
Administrative and Support and Waste Management and Remediation Services,2238.72113856834,196.0
Administrative and Support and Waste Management and Remediation Services,2511.88643150958,80.0
Administrative and Support and Waste Management and Remediation Services,2818.382931264455,319.0
Administrative and Support and Waste Management and Remediation Services,3162.2776601683795,161.0
Administrative and Support and Waste Management and Remediation Services,3548.133892335753,139.0
Administrative and Support and Waste Management and Remediation Services,3981.0717055349733,306.0
Administrative and Support and Waste Management and Remediation Services,4466.835921509631,599.0
Administrative and Support and Waste Management and Remediation Services,5011.872336272725,207.0
Administrative and Support and Waste Management and Remediation Services,5623.413251903491,436.0
Administrative and Support and Waste Management and Remediation Services,6309.57344480193,352.0
Administrative and Support and Waste Management and Remediation Services,7079.457843841381,273.0
Administrative and Support and Waste Management and Remediation Services,7943.282347242814,434.0
Administrative and Support and Waste Management and Remediation Services,8912.509381337459,339.0
Administrative and Support and Waste Management and Remediation Services,10000.0,814.0
Administrative and Support and Waste Management and Remediation Services,11220.18454301963,671.0
Administrative and Support and Waste Management and Remediation Services,12589.254117941662,480.0
Administrative and Support and Waste Management and Remediation Services,14125.375446227554,630.0
Administrative and Support and Waste Management and Remediation Services,15848.93192461114,592.0
Administrative and Support and Waste Management and Remediation Services,17782.794100389227,670.0
Administrative and Support and Waste Management and Remediation Services,19952.62314968879,1353.0
Administrative and Support and Waste Management and Remediation Services,22387.21138568338,1636.0
Administrative and Support and Waste Management and Remediation Services,25118.864315095823,1142.0
Administrative and Support and Waste Management and Remediation Services,28183.82931264455,2512.0
Administrative and Support and Waste Management and Remediation Services,31622.776601683792,2852.0
Administrative and Support and Waste Management and Remediation Services,35481.33892335753,2676.0
Administrative and Support and Waste Management and Remediation Services,39810.71705534969,4961.0
Administrative and Support and Waste Management and Remediation Services,44668.359215096345,6950.0
Administrative and Support and Waste Management and Remediation Services,50118.72336272725,4476.0
Administrative and Support and Waste Management and Remediation Services,56234.13251903491,5572.0
Administrative and Support and Waste Management and Remediation Services,63095.7344480193,5750.0
Administrative and Support and Waste Management and Remediation Services,70794.57843841374,4612.0
Administrative and Support and Waste Management and Remediation Services,79432.82347242821,5581.0
Administrative and Support and Waste Management and Remediation Services,89125.0938133746,4502.0
Administrative and Support and Waste Management and Remediation Services,100000.0,5765.0
Administrative and Support and Waste Management and Remediation Services,112201.84543019629,3756.0
Administrative and Support and Waste Management and Remediation Services,125892.54117941661,2920.0
Administrative and Support and Waste Management and Remediation Services,141253.75446227554,2033.0
Administrative and Support and Waste Management and Remediation Services,158489.3192461114,1616.0
Administrative and Support and Waste Management and Remediation Services,177827.94100389228,709.0
Administrative and Support and Waste Management and Remediation Services,199526.2314968879,559.0
Administrative and Support and Waste Management and Remediation Services,223872.11385683378,252.0
Administrative and Support and Waste Management and Remediation Services,251188.6431509582,76.0
Administrative and Support and Waste Management and Remediation Services,281838.2931264455,62.0
Administrative and Support and Waste Management and Remediation Services,316227.7660168379,24.0
Administrative and Support and Waste Management and Remediation Services,354813.3892335753,17.0
Administrative and Support and Waste Management and Remediation Services,398107.1705534969,32.0
Administrative and Support and Waste Management and Remediation Services,446683.5921509635,42.0
Administrative and Support and Waste Management and Remediation Services,501187.2336272725,41.0
Administrative and Support and Waste Management and Remediation Services,562341.3251903491,37.0
Administrative and Support and Waste Management and Remediation Services,630957.344480193,20.0
Administrative and Support and Waste Management and Remediation Services,707945.7843841374,18.0
Public Administration,1995.2623149688789,3.0
Public Administration,2238.72113856834,31.0
Public Administration,2511.88643150958,11.0
Public Administration,2818.382931264455,25.0
Public Administration,3162.2776601683795,10.0
Public Administration,3548.133892335753,8.0
Public Administration,3981.0717055349733,35.0
Public Administration,4466.835921509631,82.0
Public Administration,5011.872336272725,25.0
Public Administration,5623.413251903491,79.0
Public Administration,6309.57344480193,61.0
Public Administration,7079.457843841381,62.0
Public Administration,7943.282347242814,64.0
Public Administration,8912.509381337459,68.0
Public Administration,10000.0,177.0
Public Administration,11220.18454301963,118.0
Public Administration,12589.254117941662,119.0
Public Administration,14125.375446227554,193.0
Public Administration,15848.93192461114,183.0
Public Administration,17782.794100389227,336.0
